"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
"93","1","2","1","1","2","2","1","1","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"94","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2"
"95","1","1","2","1","2","2","2","1","2","1","2","2","1","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2"
"96","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"97","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"98","1","1","1","1","1","2","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2"
"99","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"100","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"101","1","2","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2"
"102","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2"
"103","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","1","2","2","2","2"
"104","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2"
"105","1","2","1","1","2","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"106","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2"
"107","1","1","1","1","2","1","1","1","2","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2"
"108","1","1","1","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
